station_id,city,month,days,tmax_median_c,peak_hour_median,daily_range_median_c,warmup_am_median_c,warmup_noon_median_c,late_ramp_median_c,afternoon_dew_median_c,morning_low_ceiling_share,midday_low_ceiling_share,reduced_visibility_share,precip_day_share,late_surge_share,cloud_break_share,dry_mixing_share,humid_sticky_share
CYYZ,Toronto,1,124,0.0,15.0,6.0,0.9000000000000006,1.0749999999999997,0.0,-6.75,0.5080645161290323,0.49193548387096775,0.3951612903225806,0.3629032258064516,0.13709677419354838,0.03225806451612903,0.0,0.0
CYYZ,Toronto,2,113,2.0,15.0,7.0,1.8,2.025,0.07499999999999996,-6.0,0.3008849557522124,0.2831858407079646,0.3893805309734513,0.26548672566371684,0.21238938053097345,0.05309734513274336,0.017699115044247787,0.0
CYYZ,Toronto,3,120,5.0,15.708333333333332,7.0,1.975,2.0,0.10000000000000009,-2.15,0.26666666666666666,0.35,0.3416666666666667,0.30833333333333335,0.375,0.05,0.11666666666666667,0.0
CYYZ,Toronto,4,120,12.0,17.0,8.25,2.5,2.0,1.0,0.925,0.19166666666666668,0.2833333333333333,0.23333333333333334,0.275,0.5083333333333333,0.058333333333333334,0.16666666666666666,0.0
CYYZ,Toronto,5,124,20.0,17.0,9.75,4.0,2.0,1.0,8.3,0.16129032258064516,0.1693548387096774,0.12903225806451613,0.21774193548387097,0.4838709677419355,0.016129032258064516,0.2661290322580645,0.008064516129032258
CYYZ,Toronto,6,120,24.0,16.0,9.100000000000001,4.0,2.0250000000000004,1.0,12.875,0.125,0.125,0.1,0.20833333333333334,0.49166666666666664,0.016666666666666666,0.24166666666666667,0.1
CYYZ,Toronto,7,124,27.299999999999997,17.0,9.05,4.125,2.0,1.0,16.8,0.056451612903225805,0.08870967741935484,0.10483870967741936,0.16129032258064516,0.49193548387096775,0.016129032258064516,0.18548387096774194,0.12903225806451613
CYYZ,Toronto,8,117,26.0,16.0,9.0,4.25,2.0500000000000007,1.0,15.3,0.15384615384615385,0.1623931623931624,0.07692307692307693,0.15384615384615385,0.47863247863247865,0.05128205128205128,0.1111111111111111,0.1452991452991453
CYYZ,Toronto,9,90,23.0,15.5,9.0,4.0,3.0,0.07500000000000107,14.8,0.13333333333333333,0.18888888888888888,0.06666666666666667,0.15555555555555556,0.3111111111111111,0.022222222222222223,0.1,0.1111111111111111
CYYZ,Toronto,10,93,15.0,16.0,9.0,3.0,3.0,0.8499999999999996,5.8,0.11827956989247312,0.1827956989247312,0.053763440860215055,0.17204301075268819,0.3333333333333333,0.043010752688172046,0.15053763440860216,0.010752688172043012
CYYZ,Toronto,11,87,9.0,15.0,7.0,1.8250000000000002,1.7999999999999998,-0.25,0.0,0.3103448275862069,0.26436781609195403,0.19540229885057472,0.20689655172413793,0.12643678160919541,0.05747126436781609,0.04597701149425287,0.0
CYYZ,Toronto,12,94,3.0,15.0,5.0,1.0,1.0,-0.06250000000000008,-3.0,0.4787234042553192,0.48936170212765956,0.425531914893617,0.32978723404255317,0.07446808510638298,0.0,0.0,0.0
EDDM,Munich,1,124,4.0,15.333333333333334,7.0,1.5,1.0,-1.0,-0.5,0.6129032258064516,0.6774193548387096,0.43548387096774194,0.0,0.03225806451612903,0.008064516129032258,0.0,0.0
EDDM,Munich,2,113,8.0,15.833333333333334,8.0,2.5,2.0,0.0,1.0,0.5929203539823009,0.5929203539823009,0.2920353982300885,0.0,0.12389380530973451,0.0,0.0,0.0
